split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,test
test_oos,volume_liquidity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,amihud_illiquidity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,27,204,0.26153846153846155,27,-0.05420937087603756,0.028571428571428574,0.4348749844475898,-0.6477267350034763,0.5185185185185185,-0.6477267350034764,0.522840712593061,-0.6450535961717344,0.5188924538813913,24,0.5188924538813913,computed,time_oos
test_oos,amihud_illiquidity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3772,0.5626491646778043,56,0.01440181076639085,0.016719948221974076,0.06651616888003486,1.6202569253251482,0.6607142857142857,1.6202569253251482,0.11089725285137382,1.3358735819478462,0.1815905971366133,24,0.1815905971366133,computed,time_oos
train,liquidity_growth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,liquidity_growth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,liquidity_shock,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,liquidity_shock,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,buy_sell_imbalance,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,buy_sell_imbalance,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,smart_money_flow_intensity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
