test,held_out_chain,factor,horizon,train_rows,test_rows,n_timestamps,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status
leave_one_chain_out,8453,realized_vol_24h,24,7169,2910,81,0.39106529209621993,81,-0.07459713330026367,-0.06707946336429307,0.256731428950069,-2.6150837957317132,0.37037037037037035,-2.615083795731713,0.010658275326236541,-1.285693763703215,0.1985499585518712,24,0.1985499585518712,computed
leave_one_chain_out,CT_501,realized_vol_24h,24,8632,1447,70,0.6281962681409814,70,-0.12975210363865827,-0.07067932067932069,0.4127254787251262,-2.6302809995762697,0.3,-2.63028099957627,0.010512694354420034,-0.7999237949913954,0.4237549504071578,24,0.4237549504071578,computed
leave_one_chain_out,1,volume_momentum,24,7169,2910,59,0.2793814432989691,59,-0.010546495536263082,0.010526315789473684,0.28715439466809334,-0.28211014996624606,0.5084745762711864,-0.2821101499662461,0.7788632774582875,-0.34637553119231457,0.7290605115896075,24,0.7290605115896075,computed
leave_one_chain_out,56,volume_momentum,24,7267,2812,48,0.4093172119487909,48,0.07571192696192697,0.03948160535117057,0.1765205150669856,2.9715957759864438,0.5833333333333334,2.9715957759864433,0.004658067538283965,3.6505438101531817,0.00026168566743445753,24,0.00026168566743445753,computed
leave_one_chain_out,8453,volume_momentum,24,7169,2910,55,0.24123711340206186,55,0.027151395841235416,0.021428571428571425,0.3068003963263542,0.6563229486382796,0.5272727272727272,0.6563229486382794,0.5144034973650125,0.8607859416242645,0.3893559492250054,24,0.3893559492250054,computed
leave_one_chain_out,CT_501,volume_momentum,24,8632,1447,48,0.40843123704215617,48,0.07196969696969698,0.039160839160839164,0.23284491293982865,2.1414283040671656,0.5625,2.1414283040671656,0.03745437024945337,2.042188198705857,0.04113286665245923,24,0.04113286665245923,computed
leave_one_chain_out,1,volume_surprise,24,7169,2910,94,0.49243986254295535,94,-0.037482123595414515,0.003727902644311313,0.3283938684228263,-1.1066061399948504,0.5,-1.1066061399948504,0.27131846678235616,-1.1536190753566355,0.24865637435563215,24,0.24865637435563215,computed
leave_one_chain_out,56,volume_surprise,24,7267,2812,73,0.6248221906116643,73,0.03572099321624924,0.052307692307692305,0.2448903712220348,1.246273172371402,0.5753424657534246,1.246273172371402,0.2167038459945395,0.8831088533271151,0.3771774611863462,24,0.3771774611863462,computed
leave_one_chain_out,8453,volume_surprise,24,7169,2910,89,0.41855670103092785,89,0.04322453470973316,0.029411764705882353,0.2886122673651506,1.4128971322540083,0.5730337078651685,1.4128971322540083,0.16121316538155137,1.963788762236935,0.04955459385211953,24,0.04955459385211953,computed
leave_one_chain_out,CT_501,volume_surprise,24,8632,1447,71,0.6392536281962682,71,0.06698963888946469,0.04895104895104895,0.32075929580408014,1.7597766858747697,0.5352112676056338,1.7597766858747699,0.08281465563030624,1.2739827705202247,0.20266952236450553,24,0.20266952236450553,computed
leave_one_chain_out,1,liquidity_mcap,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,liquidity_mcap,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,liquidity_mcap,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,liquidity_mcap,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,turnover,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,turnover,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,turnover,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,turnover,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,volume_liquidity,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,volume_liquidity,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,volume_liquidity,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,volume_liquidity,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,amihud_illiquidity,24,7169,2910,87,0.422680412371134,87,-0.0879200500103671,-0.11188811188811189,0.26920681842848687,-3.0462216284134125,0.3563218390804598,-3.0462216284134125,0.0030765288469214963,-2.7715054785455946,0.00557977333478229,24,0.00557977333478229,computed
leave_one_chain_out,56,amihud_illiquidity,24,7267,2812,72,0.6077524893314367,72,0.03235175318508651,0.028260869565217388,0.20281566029063355,1.3535134729340008,0.5416666666666666,1.3535134729340006,0.18018510471063195,0.3925697844445774,0.6946372600230319,24,0.6946372600230319,computed
leave_one_chain_out,8453,amihud_illiquidity,24,7169,2910,77,0.3556701030927835,77,-0.0133984108583039,-0.02417582417582418,0.18266077436383363,-0.6436553142771704,0.45454545454545453,-0.6436553142771704,0.5217365864072763,-0.25046347818988296,0.8022289449337003,24,0.8022289449337003,computed
leave_one_chain_out,CT_501,amihud_illiquidity,24,8632,1447,71,0.6378714581893573,71,0.20771020611534283,0.20329670329670327,0.17061582262338254,10.258118381016732,0.8732394366197183,10.25811838101673,1.370476233723013e-15,5.481336320582827,4.2212515137070924e-08,24,4.2212515137070924e-08,computed
leave_one_chain_out,1,liquidity_growth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,liquidity_growth,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,liquidity_growth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,liquidity_growth,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,liquidity_shock,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,liquidity_shock,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,liquidity_shock,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,liquidity_shock,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,buy_sell_imbalance,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,buy_sell_imbalance,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,buy_sell_imbalance,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,buy_sell_imbalance,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,smart_money_flow_intensity,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,smart_money_flow_intensity,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,smart_money_flow_intensity,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,smart_money_flow_intensity,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,smart_money_crowding,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,smart_money_crowding,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,smart_money_crowding,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,smart_money_crowding,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,signal_count,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,signal_count,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,signal_count,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,signal_count,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,signal_breadth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,signal_breadth,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,signal_breadth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,signal_breadth,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,holder_growth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,holder_growth,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,holder_growth,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,holder_growth,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,holder_acceleration,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,holder_acceleration,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,holder_acceleration,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,holder_acceleration,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,holder_concentration,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,holder_concentration,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,holder_concentration,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,holder_concentration,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,holder_liquidity_interaction,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,56,holder_liquidity_interaction,24,7267,2812,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,8453,holder_liquidity_interaction,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,CT_501,holder_liquidity_interaction,24,8632,1447,0,0.0,0,,,,,,,,,,,,insufficient evidence
leave_one_chain_out,1,rank_change,24,7169,2910,0,0.0,0,,,,,,,,,,,,insufficient evidence
