split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,scope
first_half,smart_money_crowding,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,smart_money_crowding,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,signal_count,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,signal_count,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,signal_breadth,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,signal_breadth,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,holder_growth,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,holder_growth,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,holder_acceleration,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,holder_acceleration,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,holder_concentration,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
